id,question,reference,prediction,exact_match,f1_score,precision,recall,bleu_score,semantic_similarity,generation_time,response_length,model,prompt_type,temperature
0,"Как называется воздушное судно, выполняющее полет без пилота на борту?",Беспилотное,Беспилотное воздушное судно.,0.0,0.5,0.3333333333333333,1.0,0.1597357760615681,0.9083896279335022,2.2435519695281982,28,qwen2.5:1.5b,zero_shot,0.0
1,Синтезом каких культур являлась богемская культура ?,"Немецкой, чешской и еврейской культур","Немецкой, чешской и еврейской.",0.0,0.888888888888889,1.0,0.8,0.7598356856515927,0.9157319068908691,2.225405216217041,30,qwen2.5:1.5b,zero_shot,0.0
2,Как меняется кожа у змей?,У змей кожа меняется одномоментно.,У змей кожа меняется одновременно и одним слоем.,0.0,0.6153846153846154,0.5,0.8,0.3155984539112945,0.9713418483734131,2.4597132205963135,48,qwen2.5:1.5b,zero_shot,0.0
3,В каком году Бунин перешел к другому издателю?,1902,1902 год,0.0,0.6666666666666666,0.5,1.0,0.49999999999999994,0.991506814956665,2.334238052368164,8,qwen2.5:1.5b,zero_shot,0.0
4,С какой целью строились римские дороги?,увеличения скорости передвижения войск и торговых караванов,С целью увеличения скорости передвижения войск и торговых караванов.,0.0,0.8750000000000001,0.7777777777777778,1.0,0.6389431042462729,0.9293683767318726,2.5715713500976562,68,qwen2.5:1.5b,zero_shot,0.0
5,Какому инструменту верхний голос в группе медных духовых с этого времени всё чаще стал поручаться?,корнету,Корнету.,1.0,1.0,1.0,1.0,0.0,0.8451938629150391,2.3038134574890137,8,qwen2.5:1.5b,zero_shot,0.0
6,Где произошли события описанные в некоторых произведениях Агаты Кристи?,на Ближний Восток,"Ближний Восток, Торки, Стамбул, Девон, Англия.",0.0,0.4444444444444444,0.3333333333333333,0.6666666666666666,0.07495553473355841,0.6785470247268677,2.4975647926330566,46,qwen2.5:1.5b,zero_shot,0.0
7,Для чего используют результаты экономического анализа?,прогнозирования и перспективного планирования экономических процессов,Для выявления неиспользованных резервов улучшения показателей деятельности.,0.0,0.0,0.0,0.0,0.0,0.4441903233528137,2.4874565601348877,75,qwen2.5:1.5b,zero_shot,0.0
8,Кто по мнению искусствоведа Ирина Вакар ввел термин авангард ?,создателем термина был знаменитый художник и критик Александр Бенуа,Александр Бенуа,0.0,0.3636363636363636,1.0,0.2222222222222222,0.030197383422318515,0.6354681253433228,2.3217945098876953,15,qwen2.5:1.5b,zero_shot,0.0
9,Что применяют в некоторых системах широкоформатного кино наряду с широкой киноплёнкой?,анаморфирование изображения,Анаморфирование изображения.,1.0,1.0,1.0,1.0,0.27516060407455223,0.9625412225723267,2.4346981048583984,28,qwen2.5:1.5b,zero_shot,0.0
10,Что призваны продемонстрировать кинофестивали?,современные веяния в кинематографе,Кинофестивали продемонстрируют современные веяния в кинематографе.,0.0,0.8,0.6666666666666666,1.0,0.4111336169005198,0.8164304494857788,2.46342134475708,66,qwen2.5:1.5b,zero_shot,0.0
11,За счет чего в ряде языков северо-западной зоны прямоугольная система?,наличия непередных неогубленных гласных,За счет наличия непередных неогубленных гласных типа [ə] и [ɯ].,0.0,0.5714285714285715,0.4,1.0,0.16451929399933107,0.795836865901947,2.506018877029419,63,qwen2.5:1.5b,zero_shot,0.0
12,Как называется дополнительный билипидный слой вирусов?,суперкапсидом,Суперкапсид.,0.0,0.0,0.0,0.0,0.0,0.9158061146736145,2.2155354022979736,12,qwen2.5:1.5b,zero_shot,0.0
13,Какая фирма начала разработку сложной конструкции с интегрированными фотореактивами и возможностью немедленного получения позитива?,Agfa,Agfa,1.0,1.0,1.0,1.0,1.0000000000000004,1.0,2.1745598316192627,4,qwen2.5:1.5b,zero_shot,0.0
14,Чему соответствует степень доктора философии в США?,российскому кандидату наук:п. 262,Степень кандидата наук.,0.0,0.0,0.0,0.0,0.089730240870212,0.6029602289199829,2.2492642402648926,23,qwen2.5:1.5b,zero_shot,0.0
15,Каким способом человек контактирует с окружением?,воспринимает внешний мир через чувства,Человеческому мозгу через чувства.,0.0,0.4444444444444445,0.5,0.4,0.21364350319811698,0.6682912707328796,2.336496353149414,34,qwen2.5:1.5b,zero_shot,0.0
16,Инактивация чего происходит когда вещество присоединяется к ферменту не в активном центре?,Его каталитического центра.,Каталитического центра.,0.0,0.8,1.0,0.6666666666666666,0.39432237651162877,0.7975640296936035,2.3964059352874756,23,qwen2.5:1.5b,zero_shot,0.0
17,Переход полимера в вязкотекучее состояние не должен сопровождаться чем?,разложением материала термодеструкцией,разложением материала,0.0,0.8,1.0,0.6666666666666666,0.6065306597126336,0.7653125524520874,2.331979751586914,21,qwen2.5:1.5b,zero_shot,0.0
18,"Какой из методов является более доказательным, чем другие?",никакой,Методы имеют одинаковые уровни доказательности.,0.0,0.0,0.0,0.0,0.0,-0.1476137489080429,2.467893600463867,47,qwen2.5:1.5b,zero_shot,0.0
19,В каком году участие во втором Чемпионате мира по футболу уже не требовало от итальянцев долгих переездов — решением исполкома ФИФА саму их родину выбрали местом проведения финального турнира?,В 1934.,1934,0.0,0.6666666666666666,1.0,0.5,0.13533528323661276,0.9082501530647278,2.2927966117858887,4,qwen2.5:1.5b,zero_shot,0.0
20,Кто относится к юридически подозреваемым инсайдерам,"Юристы, инвестиционные банкиры и другие лица, получающие конфиденциальную информацию от компаний, для которых они оказывают свои услуги","Юристы, инвестиционные банкиры и другие лица, получившие конфиденциальную информацию от компаний для оказания услуг.",0.0,0.7096774193548386,0.7857142857142857,0.6470588235294118,0.4819021845482765,0.9882149696350098,2.564026355743408,116,qwen2.5:1.5b,zero_shot,0.0
21,На чем основывались мосты с полуциркульными арками?,на римской традиции,на римскую традицию,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.27516060407455223,0.9937885999679565,2.2882673740386963,19,qwen2.5:1.5b,zero_shot,0.0
22,За что тренера раскритиковали ?,за неудачные перестановки,За неудачные перестановки.,1.0,1.0,1.0,1.0,0.31947155212313627,0.9064052104949951,2.384425163269043,26,qwen2.5:1.5b,zero_shot,0.0
23,"Какая процедура осуществлена в целях сохранения, развития и оптимизации?",Реорганизация,Реорганизация.,1.0,1.0,1.0,1.0,0.49999999999999994,0.9827549457550049,2.3343448638916016,14,qwen2.5:1.5b,zero_shot,0.0
24,На какое число планировался запуск европейского метеорологического космического аппарата MetOp-B?,На 23 мая.,23 мая 2012 года.,0.0,0.5714285714285715,0.5,0.6666666666666666,0.23643540225079396,0.833949625492096,2.329853057861328,17,qwen2.5:1.5b,zero_shot,0.0
25,Как писательница описывала свои произведения?,Детектив был рассказом с моралью,"Она считала, что её романы не содержали сцен насилия и грубости.",0.0,0.0,0.0,0.0,0.0,0.21992817521095276,2.483891010284424,64,qwen2.5:1.5b,zero_shot,0.0
26,Какую часть занимает азот в состав белков?,16—18 % по массе.,16-18% по массе.,1.0,1.0,1.0,1.0,0.4111336169005198,0.9906949996948242,2.3596489429473877,16,qwen2.5:1.5b,zero_shot,0.0
27,Когда открылся первый в истории коворкинг?,9 августа 2005 года,9 августа 2005 года,1.0,1.0,1.0,1.0,1.0000000000000004,1.0,2.3215126991271973,19,qwen2.5:1.5b,zero_shot,0.0
28,Из-за чего бунинский герой кончает жизнь самоубийством?,Из-за мирового счастья ,Из-за мирового счастья.,1.0,1.0,1.0,1.0,0.5946035575013604,0.9895269274711609,2.4114859104156494,23,qwen2.5:1.5b,zero_shot,0.0
29,Когда Дилан показал премьеру автобиографического фильма Хроники ?,В октябре 2004 года,2004 год.,0.0,0.3333333333333333,0.5,0.25,0.19716118825581447,0.8556004762649536,2.351055145263672,9,qwen2.5:1.5b,zero_shot,0.0
30,Что не учитывает закон Фурье?,инерционность процесса теплопроводности,Инерционность процесса теплопроводности.,1.0,1.0,1.0,1.0,0.31947155212313627,0.9822590351104736,2.375141143798828,40,qwen2.5:1.5b,zero_shot,0.0
31,"Как называли журналисты ситуацию при которой такие игроки за участие получали приличные суммы денег, но не как гонорары, а как компенсацию расходов на дорогу, проживание и прочие нужды?", лжелюбительством ,Лжелюбительство.,0.0,0.0,0.0,0.0,0.0,0.9361669421195984,2.4926486015319824,16,qwen2.5:1.5b,zero_shot,0.0
